Date,Basal energy burned(kcal)
2026-02-14,1349.164
2026-02-15,1461.666
2026-02-16,1414.733
2026-02-17,1423.328
2026-02-18,1440.504
2026-02-19,1334.524
2026-02-20,1363.215
2026-02-21,1281.610
2026-02-22,1326.264
2026-02-23,1427.484
2026-02-24,1419.449
2026-02-25,1449.351
2026-02-26,1444.276
2026-02-27,1475.519
2026-02-28,1457.191
2026-03-01,1367.575
2026-03-02,1383.455
2026-03-03,1420.934
2026-03-04,1399.163
2026-03-05,1451.875
2026-03-06,1448.869
2026-03-07,1360.314
2026-03-08,1318.182
2026-03-09,1468.943
2026-03-10,1465.753
2026-03-11,1392.519
2026-03-12,1434.515
2026-03-13,1323.198
2026-03-14,1321.297
2026-03-15,1321.298
2026-03-16,1321.298
2026-03-17,1308.526
2026-03-18,1324.255
2026-03-19,1401.315
2026-03-20,1413.836
2026-03-21,1452.794
2026-03-22,1337.016
2026-03-23,1423.779
2026-03-24,1412.328
2026-03-25,1420.010
2026-03-26,1436.539
2026-03-27,1343.537
2026-03-28,1329.312
2026-03-29,1176.144
2026-03-30,1336.387
2026-03-31,1335.915
2026-04-01,1338.527
2026-04-02,1341.033
2026-04-03,1341.033
2026-04-04,1305.943
2026-04-05,1355.146
2026-04-06,1448.779
2026-04-07,1463.712
2026-04-08,1420.680
2026-04-09,1482.277
2026-04-10,1455.232
2026-04-11,1430.279
2026-04-12,1466.377
2026-04-13,1427.152
2026-04-14,1456.890
2026-04-15,1420.251
2026-04-16,1378.223
2026-04-17,1429.122
2026-04-18,1417.540
2026-04-19,1457.911
2026-04-20,1370.312
2026-04-21,1466.166
2026-04-22,1328.296
2026-04-23,1398.383
2026-04-24,1424.613
2026-04-25,1350.592
2026-04-26,1392.469
2026-04-27,1333.312
2026-04-28,1396.638
2026-04-29,1412.074
2026-04-30,1413.059
2026-05-01,1411.529
2026-05-02,1306.610
2026-05-03,1393.358
2026-05-04,1415.334
2026-05-05,1415.208
2026-05-06,1419.816
2026-05-07,1412.494
2026-05-08,1386.440
2026-05-09,1382.531
2026-05-10,1386.334
2026-05-11,1448.159
2026-05-12,1440.126
2026-05-13,1330.195
2026-05-14,1318.763
2026-05-15,1020.632
2026-05-16,41.611
2026-05-17,1321.596
2026-05-18,1320.460
2026-05-19,1419.475
2026-05-20,1395.887
2026-05-21,1343.854
2026-05-22,1307.482
2026-05-23,1364.129
2026-05-24,1440.791
2026-05-25,1318.608
2026-05-26,1432.097
2026-05-27,1320.228
2026-05-28,1319.258
2026-05-29,1415.999
2026-05-30,1421.638
2026-05-31,1228.034
2026-06-01,1349.785
2026-06-02,1419.608
2026-06-03,1406.347
2026-06-04,1412.807
2026-06-05,1369.742
2026-06-06,1401.220
2026-06-07,1405.348
2026-06-08,1401.606
2026-06-09,1416.660
2026-06-10,1396.014
2026-06-11,1416.355
2026-06-12,1361.975
2026-06-13,1288.578
2026-06-14,1309.484
2026-06-15,1326.042
2026-06-16,1434.439
2026-06-17,1296.011
2026-06-18,1383.625
2026-06-19,1361.518
2026-06-20,1380.301
2026-06-21,1419.274
2026-06-22,1413.567
2026-06-23,1443.935
2026-06-24,1366.434
2026-06-25,1220.016
